model,setting,metric,score
Qwen3-1.7B,baseline,EM,0.0
Qwen3-1.7B,baseline,SubEM,1.0
Qwen3-1.7B,baseline,METEOR,0.0
Qwen3-1.7B,baseline,BERT_P,-1.0699931383132935
Qwen3-1.7B,baseline,BERT_R,-1.07051682472229
Qwen3-1.7B,baseline,BERT_F1,-1.0619372129440308
Qwen3-1.7B,baseline,LLM_Judge,0.72
Qwen3-1.7B,RAG,EM,0.0
Qwen3-1.7B,RAG,SubEM,1.0
Qwen3-1.7B,RAG,METEOR,0.0
Qwen3-1.7B,RAG,BERT_P,-1.0699931383132935
Qwen3-1.7B,RAG,BERT_R,-1.07051682472229
Qwen3-1.7B,RAG,BERT_F1,-1.0619372129440308
Qwen3-1.7B,RAG,LLM_Judge,0.8533333333333334
SmolLM2-1.7B-Instruct,baseline,EM,0.0
SmolLM2-1.7B-Instruct,baseline,SubEM,1.0
SmolLM2-1.7B-Instruct,baseline,METEOR,0.0
SmolLM2-1.7B-Instruct,baseline,BERT_P,-1.0699931383132935
SmolLM2-1.7B-Instruct,baseline,BERT_R,-1.07051682472229
SmolLM2-1.7B-Instruct,baseline,BERT_F1,-1.0619372129440308
SmolLM2-1.7B-Instruct,baseline,LLM_Judge,0.8166666666666667
SmolLM2-1.7B-Instruct,RAG,EM,0.0
SmolLM2-1.7B-Instruct,RAG,SubEM,1.0
SmolLM2-1.7B-Instruct,RAG,METEOR,0.0
SmolLM2-1.7B-Instruct,RAG,BERT_P,-1.0699931383132935
SmolLM2-1.7B-Instruct,RAG,BERT_R,-1.07051682472229
SmolLM2-1.7B-Instruct,RAG,BERT_F1,-1.0619372129440308
SmolLM2-1.7B-Instruct,RAG,LLM_Judge,0.8933333333333333
Qwen2.5-3B-LoRA,baseline,EM,0.0
Qwen2.5-3B-LoRA,baseline,SubEM,1.0
Qwen2.5-3B-LoRA,baseline,METEOR,0.0
Qwen2.5-3B-LoRA,baseline,BERT_P,-1.0699931383132935
Qwen2.5-3B-LoRA,baseline,BERT_R,-1.07051682472229
Qwen2.5-3B-LoRA,baseline,BERT_F1,-1.0619372129440308
Qwen2.5-3B-LoRA,baseline,LLM_Judge,0.57
Qwen2.5-3B-LoRA,RAG,EM,0.0
Qwen2.5-3B-LoRA,RAG,SubEM,1.0
Qwen2.5-3B-LoRA,RAG,METEOR,0.0
Qwen2.5-3B-LoRA,RAG,BERT_P,-1.0699931383132935
Qwen2.5-3B-LoRA,RAG,BERT_R,-1.07051682472229
Qwen2.5-3B-LoRA,RAG,BERT_F1,-1.0619372129440308
Qwen2.5-3B-LoRA,RAG,LLM_Judge,0.6833333333333333
